column,dtype,missing_values,missing_percentage,unique_values
Def 3rd_stats_possession,int64,0,0.0,793
Mid 3rd_stats_possession,int64,0,0.0,914
Att 3rd_stats_possession,int64,0,0.0,638
Att Pen,int64,0,0.0,176
Live_stats_possession,int64,0,0.0,1444
Att_stats_possession,int64,0,0.0,141
Succ,int64,0,0.0,79
Succ%,float64,443,15.52,343
Tkld,int64,0,0.0,82
Tkld%,float64,443,15.52,350
Carries,int64,0,0.0,1039
TotDist_stats_possession,int64,0,0.0,2065
PrgDist_stats_possession,int64,0,0.0,1647
PrgC_stats_possession,int64,0,0.0,145
1/3_stats_possession,int64,0,0.0,95
CPA,int64,0,0.0,74
Mis,int64,0,0.0,104
Dis,int64,0,0.0,74
Rec,int64,0,0.0,1141
PrgR_stats_possession,int64,0,0.0,258
CrdY_stats_misc,int64,0,0.0,16
CrdR_stats_misc,int64,0,0.0,4
2CrdY,int64,0,0.0,3
Fls,int64,0,0.0,69
Fld_stats_misc,int64,0,0.0,77
Off_stats_misc,int64,0,0.0,30
Crs_stats_misc,int64,0,0.0,179
Int_stats_misc,int64,0,0.0,64
TklW_stats_misc,int64,0,0.0,68
PKwon,int64,0,0.0,7
PKcon,int64,0,0.0,5
OG,int64,0,0.0,4
Recov,int64,0,0.0,195
Won,int64,0,0.0,114
Lost_stats_misc,int64,0,0.0,108
Won%,float64,222,7.78,472
GA,float64,2642,92.57,60
GA90,float64,2642,92.57,110
SoTA,float64,2642,92.57,119
Saves,float64,2642,92.57,101
Save%,float64,2648,92.78,122
W,float64,2642,92.57,22
D,float64,2642,92.57,16
L,float64,2642,92.57,22
CS,float64,2642,92.57,17
CS%,float64,2651,92.89,88
PKatt_stats_keeper,float64,2642,92.57,12
PKA,float64,2642,92.57,11
PKsv,float64,2642,92.57,5
PKm,float64,2642,92.57,2
PSxG,float64,2642,92.57,174
PSxG/SoT,float64,2648,92.78,37
PSxG+/-,float64,2642,92.57,102
/90,float64,2642,92.57,99
Cmp_stats_keeper_adv,float64,2642,92.57,126
Att_stats_keeper_adv,float64,2642,92.57,166
Cmp%_stats_keeper_adv,float64,2644,92.64,135
Att (GK),float64,2642,92.57,187
Thr,float64,2642,92.57,112
Launch%,float64,2642,92.57,163
AvgLen,float64,2642,92.57,125
Opp,float64,2642,92.57,165
Stp,float64,2642,92.57,49
Stp%,float64,2643,92.61,93
#OPA,float64,2642,92.57,57
#OPA/90,float64,2642,92.57,110
AvgDist,float64,2646,92.71,106
